MAZ,TAZ
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,3
125,3
126,3
127,4
128,4
129,4
130,4
131,4
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,7
149,7
150,7
151,7
152,7
153,7
154,8
155,8
156,8
157,8
158,9
159,9
160,9
161,10
162,10
163,10
164,10
165,10
166,11
167,11
168,11
169,12
170,12
171,12
172,13
173,13
174,13
175,13
176,13
177,13
178,13
179,13
180,14
181,14
182,14
183,14
184,14
185,15
186,15
187,15
188,15
189,15
190,15
191,15
192,15
193,15
194,15
195,15
196,15
197,15
198,16
199,16
200,16
201,16
202,16
203,16
204,16
205,16
206,16
207,16
208,17
209,17
210,17
211,17
212,18
213,18
214,18
215,18
216,18
217,18
218,18
219,19
220,19
221,19
222,19
223,19
224,19
225,19
226,19
227,19
228,19
229,19
230,20
231,20
232,20
233,20
234,20
235,20
236,20
237,20
238,20
239,21
240,21
241,21
242,21
243,21
244,21
245,21
246,22
247,22
248,22
249,22
250,22
251,22
252,23
253,23
254,23
255,23
256,23
257,23
258,23
259,24
260,24
261,24
262,24
263,24
264,25
265,25
266,25
267,25
268,25
269,25
270,25
271,25
272,25
273,25
274,25
